address,born_chain,born_time,,value
0x614648ce2c8f77e23204f800776ac2327701d0ed,born_chain： eth,born_time： 2022-06-25 17：28：57,usd,1604.822175
0x4a51409f76107cd12f6051e73aaa25428f29f4a5,born_chain： eth,born_time： 2022-06-25 16：43：13,usd,1586.854102
0x75f80cb0e1d454094174cb66aa4ef7bb52dc0dd1,born_chain： eth,born_time： 2022-06-25 16：39：01,usd,1597.821992
0x69c3d5bd3da89b4b286de601d168bc4484742719,born_chain： eth,born_time： 2022-06-25 16：26：27,usd,1617.562749
0x11bf02da0888c8c01f58a44d10453bfec04fb601,born_chain： eth,born_time： 2022-06-25 16：21：12,usd,1566.469795
0x75bc080e15dc3e7273ba2aca53e595ac3bb0d27e,born_chain： eth,born_time： 2022-06-25 16：20：46,usd,1568.470647
0x38f56ad30cf3b5d5af793e7bbb706e779203d464,born_chain： eth,born_time： 2022-06-25 16：10：12,usd,1595.720414
0x3c6eefbd2171d8d0aa5bb3cbb4aad71810756911,born_chain： eth,born_time： 2022-06-25 16：08：12,usd,1592.757419
0x7c05dd38479f86be15ae24e18ad7c031466e9577,born_chain： eth,born_time： 2022-06-24 20：29：55,usd,1636.374937
0x0abe2cc450adb846fcb57fb09a6c91357dbaf88e,born_chain： eth,born_time： 2022-06-24 20：26：14,usd,1618.817645
0x6098d446281209dbd8c6ca92a14735cd0a1caf6a,born_chain： eth,born_time： 2022-06-24 20：25：37,usd,1574.853929
0x7230691695234d45ccc71a5a67e33ca9d8e09b7d,born_chain： eth,born_time： 2022-06-24 20：12：07,usd,1642.241439
0x716e3f0e722b8ed619d9405e61fd01e604cf8979,born_chain： eth,born_time： 2022-06-24 20：10：30,usd,1573.424011
0x5d2f75784fadcd5f808f25be4cf345944f6f6dc7,born_chain： eth,born_time： 2022-06-24 20：04：45,usd,1608.00117
0x3843334945c050eb85a914b6eeda2edc0530a35e,born_chain： eth,born_time： 2022-06-24 19：33：44,usd,1567.254637
0x7961468c8aca2d50f0196bc34f875a36cd3cc51b,born_chain： eth,born_time： 2022-06-24 19：15：10,usd,1629.504537
0x6196fc2b749f496b3eb8cfa2f4177cb271b284a1,born_chain： eth,born_time： 2022-06-24 19：14：21,usd,1561.049329
0x64e0e5343c0f7e7891206f016b1dac0192a79a4a,born_chain： eth,born_time： 2022-06-24 18：36：00,usd,1629.872831
0x127e512be6d6944a2bd0840f6ac2368cfe1bace6,born_chain： eth,born_time： 2022-06-24 18：29：52,usd,1621.72934
0x771825e88f972763cdf5c5caf9460a571198bb80,born_chain： eth,born_time： 2022-06-24 18：22：46,usd,1644.427508
0x218c9872a6b361bd9e34cefaa22a67f859015232,born_chain： eth,born_time： 2022-06-24 18：21：20,usd,1581.569352
