address, born_chain, born_day, born_time
0x3a842e7e342abc67fa9c084d67d6ce02b874f84b, arb, 2023-05-24, 20:26:09
0x26a724221c9a8033b3ee19f152814477d189dd30, arb, 2023-05-24, 18:56:30
0x3c289f7850764e905a2dbe715f5e1e0e39f8cead, arb, 2023-05-24, 18:54:29
0x340ea9615ca505a248de8316b69124c6cf30fae1, arb, 2023-05-24, 20:35:12
0x1a9aee5de6033a4161e3697724366403b8913b38, arb, 2023-05-24, 19:00:06
0x172de0767b8afc2a17a4511aff7f61ca9cc09d31, arb, 2023-05-24, 18:49:06
0x3c0629fafb19845063a4cab9fed8552612e37f88, arb, 2023-05-24, 20:25:44
0x2ee7207341e31b7f24a2932004a9ed998652d53b, arb, 2023-05-24, 18:55:10
0x306a0f1baad6a341dbec96b3932b7726071ad997, arb, 2023-05-24, 18:53:21
0x370dd4d6e93ec9ccd8f5fb895e1e07bfa7c72059, arb, 2023-05-24, 18:57:15
0x42509f3b6bfdc5a5a7bb9bff333ee7a0be50a6b7, arb, 2023-05-24, 18:51:13
0x4b7cadddbaab366a9d1b121cedc6a7f52deca1bf, arb, 2023-05-24, 20:27:52
0x43846652a5dc92e114832a1aa3dd0b64782411fb, arb, 2023-05-24, 18:45:38
0x55ce5951d2adbb909373bfc8798ac769f2ec2505, arb, 2023-05-24, 20:37:15
0x6601d87351bd1f2849c9b64386ee2a3e0e89c431, arb, 2023-05-24, 20:38:51
0x6bee6a4c12a3d3e7f321eccdc41ae2ed6578c7f5, arb, 2023-05-24, 20:33:00
0x61c6c420d21d0bff9ed94a242926f07cc530abdc, arb, 2023-05-24, 18:48:07
0x70cf063eeb9ef8ffbe954cc3a8e55301a61cc10b, arb, 2023-05-24, 18:50:26
0x692f206e0986207e062d0a800c0b68f9ccf89467, arb, 2023-05-24, 18:52:41
0x762db7ee98d0a75e1bd8db25eb050073887a2950, arb, 2023-05-24, 20:25:32
0x78dc6b7ba005feccb38d249abfc5c5ea8cf68008, arb, 2023-05-24, 18:52:56
0xa24cdbc3de3a3be10280d0b7b7253a390364d3e1, arb, 2023-05-24, 18:44:07
0xb0f93defa4219a2c615a95c959c7938f4bda61f6, arb, 2023-05-24, 18:58:01
0x7e000818cec761f90db6108a6be5cd011089a987, arb, 2023-05-24, 20:33:43
0xa1b62fc5ee840a3c022101ee4dd23d2156a7c32a, arb, 2023-05-24, 18:55:56
0xae9af3202f6527e27f06d186c00a35c27fab59e9, arb, 2023-05-24, 18:45:03
0x8402ef574be6863f4d05a50eb317c98dec3b3eaa, arb, 2023-05-24, 20:37:45
0xa4abf467d24ac7d87eebf4b763077e83e2b701ab, arb, 2023-05-24, 18:46:33
0x86dd223e3264dc81371a45904bebf86a822da857, arb, 2023-05-24, 18:49:42
